scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat75,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat100,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.ram_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat95,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat98,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat50,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat98,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat80,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.ram_limit,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat99,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat50,scenarioB_seg01/amf-performance_seg05_20211113_141818.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat75,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.ram_limit,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.cpu_usage,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.time,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.cpu_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.mean,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.mean,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,lat99,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat95,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat80,scenarioB_seg01/amf-performance_seg04_20211113_042705.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat100,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat90,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.lat99,scenarioB_seg01/amf-performance_seg09_20211113_201749.csv.lat90
2048M,1138900,1165769,0.241708,0.295678,852746240.0,1163088,1164888,1159320,1213259,1636786784,1193257,80,1024M,1165383,1636763772,1106023,3328M,1636568029,1192483,512M,0.250458,1636845270,2.5,1161002,1107515,849702912.0,821620736.0,1154957,1212175,1139993,1043865600.0,1214511,3072M,2.0,1209827,0.349776,1214360,1157557
1024M,384503,385714,0.007974,0.040787,489615360.0,384735,384735,276194,277859,1636787019,277504,10,768M,384735,1636769647,369016,3328M,1636568232,277504,1536M,0.003,1636841569,2.5,272579,372325,1514541056.0,486420480.0,254365,277859,384503,509517824.0,278445,2048M,2.0,277859,0.0,277859,384735
1024M,747850,939379,0.006889,0.092178,1530699776.0,842841,842841,337319,346871,1636807902,339171,20,768M,842841,1636732829,548477,2048M,1636568242,339171,2304M,0.010653,1636834680,1.5,335635,613736,1591603200.0,551063552.0,348031,346871,747850,587399168.0,348581,3584M,2.0,345992,0.096175,346871,758460
1024M,1268449,1373611,0.0,0.029806,617283584.0,1345957,1347038,511360,529109,1636804412,524416,30,1536M,1347038,1636735414,1248282,3328M,1636568253,524220,1536M,0.020201,1636836119,1.5,505429,1119012,1609621504.0,595062784.0,481685,528056,1269506,621821952.0,530019,3328M,2.0,527788,0.070441,529109,1343725
1024M,681397,712643,0.0,0.00579,644108288.0,702872,706260,580042,605374,1636795183,592248,40,2304M,706260,1636758945,675323,3328M,1636568263,588295,3328M,0.020085,1636839128,2.0,581560,665511,245600256.0,628379648.0,640305,603247,696850,807473152.0,605430,512M,2.0,600368,0.04517,605374,700112
1024M,663574,920013,0.044851,0.008865,445804544.0,918937,919627,714351,731997,1636787062,726468,50,768M,919627,1636760048,649486,2048M,1636568274,722874,1536M,0.042558,1636849788,2.5,712647,682788,307220480.0,717037568.0,767831,730639,664484,740581376.0,732362,4096M,2.0,729130,0.010493,731997,917485
1024M,1125308,1143948,0.044851,0.064517,934993920.0,1137843,1138462,919925,959559,1636807945,953365,60,768M,1138796,1636760549,1111889,3072M,1636568285,946052,2816M,0.097038,1636847994,1.5,924605,1107579,964345856.0,767332352.0,943076,959079,1132172,778305536.0,961607,3840M,2.0,957395,0.0326,960119,1135831
1024M,1436085,1471255,0.316434,0.273132,940589056.0,1458536,1463257,1182980,1234607,1636809685,1216772,70,3584M,1465602,1636763761,1403335,3328M,1636568297,1214335,1024M,0.264882,1636850581,1.0,1187058,1398548,831356928.0,816291840.0,1711741,1233842,1437506,804401152.0,1235979,3072M,2.0,1229787,0.236525,1235948,1457051
1024M,1138900,1165769,0.274435,0.295678,852746240.0,1163088,1164888,1159320,1213259,1636786784,1193257,80,1024M,1165383,1636763772,1106023,3328M,1636568309,1192483,512M,0.250458,1636845270,2.5,1161002,1107515,849702912.0,826249216.0,1926262,1212175,1139993,1043865600.0,1214511,3072M,2.0,1209827,0.349776,1214360,1157557
1024M,1321849,1348366,0.282413,0.321704,559325184.0,1339651,1347772,17326368,17586535,1636778577,17524300,90,3328M,1347798,1636759372,1312261,3072M,1636568320,17484282,1536M,0.404626,1636849834,2.5,17357892,1293183,268402688.0,826249216.0,1301354,17564898,1326941,848195584.0,17598617,256M,2.0,17562239,0.31797,17596938,1337318
1024M,1454877,1465493,0.42056,0.431564,426049536.0,1463841,1465068,1470014,1522125,1636786807,1501747,100,1024M,1465173,1636735492,1428134,1792M,1636568332,1496685,2560M,0.423185,1636848525,2.5,1460943,1420393,1857236992.0,428236800.0,1539662,1520217,1455908,1048379392.0,1522680,3328M,2.0,1513333,0.243348,1522407,1461516
1024M,1602868,1626955,0.368487,0.431564,436953088.0,1616781,1624655,2235658,2295711,1636798778,2273686,110,3840M,1624904,1636759025,1571320,1792M,1636568343,2270432,2560M,0.363423,1636848537,1.5,2223586,1559407,436916224.0,432709632.0,1604180,2290897,1604844,433811456.0,2298403,512M,2.0,2288057,0.239552,2296521,1612353
1024M,1775457,1824120,0.378855,0.344794,441823232.0,1818350,1820166,1756970,1857724,1636782099,1833572,120,2560M,1820822,1636746326,1738816,2304M,1636568355,1832744,3072M,0.474881,1636847540,2.5,1754388,1737938,438673408.0,438845440.0,1837993,1854997,1781993,442195968.0,1859327,768M,2.0,1836877,0.540901,1858547,1801841
1024M,1907077,1944341,0.439226,0.411435,447524864.0,1933838,1938466,1854053,1932880,1636804527,1908800,130,1536M,1938720,1636751831,1865506,3328M,1636568367,1893870,2816M,0.41462,1636840041,1.5,1851852,1853381,448958464.0,444317696.0,1929530,1928881,1908826,451440640.0,1935172,2560M,2.0,1916910,0.441271,1933272,1928091
1024M,2077846,2125383,0.378895,0.497122,453165056.0,2121324,2124656,4281515,4365346,1636804928,4332466,140,1280M,2124658,1636760155,2021455,1792M,1636568381,4325979,1280M,0.337445,1636844261,1.5,4273798,2023816,450383872.0,450166784.0,4021089,4361452,2097099,454942720.0,4369180,4096M,2.0,4353376,0.610486,4367124,2112686
1024M,2149454,2197197,0.484993,0.459034,463474688.0,2189409,2193599,2106281,2213886,1636796852,2182693,150,1024M,2194874,1636747402,2106749,2048M,1636568394,2172056,512M,0.532666,1636851280,2.0,2114124,2101522,459431936.0,458354688.0,2190855,2203757,2156119,463470592.0,2218004,4096M,2.0,2198036,0.397505,2213924,2176673
1024M,2331944,2371807,0.484993,0.523607,470085632.0,2356565,2366759,4048228,4144090,1636809803,4116655,160,3584M,2368314,1636747416,2265618,1792M,1636568406,4105634,2816M,0.685221,1636848113,1.0,4049258,2268663,466542592.0,465149952.0,2389653,4139033,2341304,471207936.0,4154531,4096M,2.0,4131062,0.381175,4151548,2354294
1024M,5764130,5816103,0.698329,0.718811,481034240.0,5806632,5810218,2392436,2518617,1636783042,2469691,170,2048M,5811165,1636747428,5707135,3328M,1636568424,2461409,1536M,0.630038,1636841758,2.5,2399045,5706190,477036544.0,476057600.0,8234066,2513387,5783831,480849920.0,2525936,4096M,2.0,2498931,0.584353,2520888,5804915
1024M,8331758,8397685,0.818701,0.633029,532807680.0,8378977,8389147,2949417,3057368,1636786355,3028481,180,1280M,8390641,1636772190,8273173,3328M,1636568437,3008523,1280M,0.489853,1636850290,2.5,2931297,8272239,536838144.0,547971072.0,2876088,3055466,8346582,487698432.0,3062231,512M,2.0,3044321,0.606336,3062024,8366192
1024M,2940233,2991959,0.456495,0.641175,570118144.0,2979754,2986018,10486828,10615427,1636797596,10570553,190,512M,2986966,1636754564,2885225,3328M,1636568450,10555689,2560M,0.451087,1636848641,2.0,10498597,2878040,537378816.0,558342144.0,3039973,10607486,2944920,536559616.0,10619381,2304M,2.0,10591218,0.510646,10617328,2965898
1024M,11481310,11525647,0.605181,0.522143,553938944.0,11508910,11517205,6933471,7049313,1636801638,7017091,200,2048M,11518774,1636764667,11399905,1792M,1636568468,7011160,3072M,0.566621,1636847666,1.5,6932063,11400868,579760128.0,561319936.0,7283378,7046195,11484953,553861120.0,7057879,2560M,2.0,7030464,0.720186,7057360,11499131
2048M,384503,385714,0.092828,0.040787,489615360.0,384735,384735,276194,277859,1636787019,277504,10,768M,384735,1636769647,369016,3328M,1636568675,277504,1536M,0.003,1636841569,2.5,272579,372325,1514541056.0,633790464.0,184134,277859,384503,509517824.0,278445,2048M,1.0,277859,0.0,277859,384735
2048M,747850,939379,0.109126,0.092178,1530699776.0,842841,842841,337319,346871,1636807902,339171,20,768M,842841,1636732829,548477,2048M,1636568686,339171,2304M,0.010653,1636834680,1.5,335635,613736,1591603200.0,701857792.0,318304,346871,747850,587399168.0,348581,3584M,1.0,345992,0.096175,346871,758460
2048M,1268449,1373611,0.109126,0.029806,617283584.0,1345957,1347038,511360,529109,1636804412,524416,30,1536M,1347038,1636735414,1248282,3328M,1636568697,524220,1536M,0.020201,1636836119,1.5,505429,1119012,1609621504.0,745844736.0,821475,528056,1269506,621821952.0,530019,3328M,1.0,527788,0.070441,529109,1343725
2048M,681397,712643,0.007326,0.00579,644108288.0,702872,706260,580042,605374,1636795183,592248,40,2304M,706260,1636758945,675323,3328M,1636568708,588295,3328M,0.020085,1636839128,2.0,581560,665511,245600256.0,779161600.0,1152476,603247,696850,807473152.0,605430,512M,1.0,600368,0.04517,605374,700112
2048M,663574,920013,0.044244,0.008865,445804544.0,918937,919627,714351,731997,1636787062,726468,50,768M,919627,1636760048,649486,2048M,1636568719,722874,1536M,0.042558,1636849788,2.5,712647,682788,307220480.0,867852288.0,1084476,730639,664484,740581376.0,732362,4096M,1.0,729130,0.010493,731997,917485
2048M,1125308,1143948,0.126771,0.064517,934993920.0,1137843,1138462,919925,959559,1636807945,953365,60,768M,1138796,1636760549,1111889,3072M,1636568731,946052,2816M,0.097038,1636847994,1.5,924605,1107579,964345856.0,918237184.0,1464477,959079,1132172,778305536.0,961607,3840M,1.0,957395,0.0326,960119,1135831
2048M,1436085,1471255,0.239896,0.273132,940589056.0,1458536,1463257,1182980,1234607,1636809685,1216772,70,3584M,1465602,1636763761,1403335,3328M,1636568744,1214335,1024M,0.264882,1636850581,1.0,1187058,1398548,831356928.0,968286208.0,2859880,1233842,1437506,804401152.0,1235979,3072M,1.0,1229787,0.236525,1235948,1457051
2048M,1138900,1165769,0.305731,0.295678,852746240.0,1163088,1164888,1159320,1213259,1636786784,1193257,80,1024M,1165383,1636763772,1106023,3328M,1636568755,1192483,512M,0.250458,1636845270,2.5,1161002,1107515,849702912.0,978169856.0,1402781,1212175,1139993,1043865600.0,1214511,3072M,1.0,1209827,0.349776,1214360,1157557
2048M,1321849,1348366,0.351842,0.321704,559325184.0,1339651,1347772,17326368,17586535,1636778577,17524300,90,3328M,1347798,1636759372,1312261,3072M,1636568767,17484282,1536M,0.404626,1636849834,2.5,17357892,1293183,268402688.0,978169856.0,1503113,17564898,1326941,848195584.0,17598617,256M,1.0,17562239,0.31797,17596938,1337318
2048M,1454877,1465493,0.363518,0.431564,426049536.0,1463841,1465068,1470014,1522125,1636786807,1501747,100,1024M,1465173,1636735492,1428134,1792M,1636568778,1496685,2560M,0.423185,1636848525,2.5,1460943,1420393,1857236992.0,432418816.0,1838065,1520217,1455908,1048379392.0,1522680,3328M,1.0,1513333,0.243348,1522407,1461516
2048M,1602868,1626955,0.363518,0.431564,436953088.0,1616781,1624655,2235658,2295711,1636798778,2273686,110,3840M,1624904,1636759025,1571320,1792M,1636568791,2270432,2560M,0.363423,1636848537,1.5,2223586,1559407,436916224.0,436097024.0,2627190,2290897,1604844,433811456.0,2298403,512M,1.0,2288057,0.239552,2296521,1612353
2048M,1775457,1824120,0.499756,0.344794,441823232.0,1818350,1820166,1756970,1857724,1636782099,1833572,120,2560M,1820822,1636746326,1738816,2304M,1636568805,1832744,3072M,0.474881,1636847540,2.5,1754388,1737938,438673408.0,441167872.0,4391829,1854997,1781993,442195968.0,1859327,768M,1.0,1836877,0.540901,1858547,1801841
1024M,384503,385714,0.007178,0.040787,489615360.0,384735,384735,276194,277859,1636787019,277504,10,768M,384735,1636769647,369016,3328M,1636569012,277504,1536M,0.003,1636841569,2.5,272579,372325,1514541056.0,518201344.0,173500,277859,384503,509517824.0,278445,2048M,1.0,277859,0.0,277859,384735
1024M,747850,939379,0.007178,0.092178,1530699776.0,842841,842841,337319,346871,1636807902,339171,20,768M,842841,1636732829,548477,2048M,1636569022,339171,2304M,0.010653,1636834680,1.5,335635,613736,1591603200.0,582967296.0,373486,346871,747850,587399168.0,348581,3584M,1.0,345992,0.096175,346871,758460
1024M,1268449,1373611,0.008485,0.029806,617283584.0,1345957,1347038,511360,529109,1636804412,524416,30,1536M,1347038,1636735414,1248282,3328M,1636569033,524220,1536M,0.020201,1636836119,1.5,505429,1119012,1609621504.0,627089408.0,487367,528056,1269506,621821952.0,530019,3328M,1.0,527788,0.070441,529109,1343725
1024M,681397,712643,0.008485,0.00579,644108288.0,702872,706260,580042,605374,1636795183,592248,40,2304M,706260,1636758945,675323,3328M,1636569044,588295,3328M,0.020085,1636839128,2.0,581560,665511,245600256.0,659869696.0,1099281,603247,696850,807473152.0,605430,512M,1.0,600368,0.04517,605374,700112
1024M,663574,920013,0.048023,0.008865,445804544.0,918937,919627,714351,731997,1636787062,726468,50,768M,919627,1636760048,649486,2048M,1636569055,722874,1536M,0.042558,1636849788,2.5,712647,682788,307220480.0,748646400.0,982911,730639,664484,740581376.0,732362,4096M,1.0,729130,0.010493,731997,917485
1024M,1125308,1143948,0.137417,0.064517,934993920.0,1137843,1138462,919925,959559,1636807945,953365,60,768M,1138796,1636760549,1111889,3072M,1636569066,946052,2816M,0.097038,1636847994,1.5,924605,1107579,964345856.0,798830592.0,1208784,959079,1132172,778305536.0,961607,3840M,1.0,957395,0.0326,960119,1135831
1024M,1436085,1471255,0.238169,0.273132,940589056.0,1458536,1463257,1182980,1234607,1636809685,1216772,70,3584M,1465602,1636763761,1403335,3328M,1636569077,1214335,1024M,0.264882,1636850581,1.0,1187058,1398548,831356928.0,850190336.0,1214651,1233842,1437506,804401152.0,1235979,3072M,1.0,1229787,0.236525,1235948,1457051
1024M,1138900,1165769,0.239894,0.295678,852746240.0,1163088,1164888,1159320,1213259,1636786784,1193257,80,1024M,1165383,1636763772,1106023,3328M,1636569090,1192483,512M,0.250458,1636845270,2.5,1161002,1107515,849702912.0,857796608.0,2044387,1212175,1139993,1043865600.0,1214511,3072M,1.0,1209827,0.349776,1214360,1157557
1024M,1321849,1348366,0.318534,0.321704,559325184.0,1339651,1347772,17326368,17586535,1636778577,17524300,90,3328M,1347798,1636759372,1312261,3072M,1636569101,17484282,1536M,0.404626,1636849834,2.5,17357892,1293183,268402688.0,862240768.0,1597516,17564898,1326941,848195584.0,17598617,256M,1.0,17562239,0.31797,17596938,1337318
1024M,1454877,1465493,0.395941,0.431564,426049536.0,1463841,1465068,1470014,1522125,1636786807,1501747,100,1024M,1465173,1636735492,1428134,1792M,1636569114,1496685,2560M,0.423185,1636848525,2.5,1460943,1420393,1857236992.0,862953472.0,2477082,1520217,1455908,1048379392.0,1522680,3328M,1.0,1513333,0.243348,1522407,1461516
1024M,1602868,1626955,0.395941,0.431564,436953088.0,1616781,1624655,2235658,2295711,1636798778,2273686,110,3840M,1624904,1636759025,1571320,1792M,1636569126,2270432,2560M,0.363423,1636848537,1.5,2223586,1559407,436916224.0,432386048.0,2304273,2290897,1604844,433811456.0,2298403,512M,1.0,2288057,0.239552,2296521,1612353
1024M,1775457,1824120,0.583147,0.344794,441823232.0,1818350,1820166,1756970,1857724,1636782099,1833572,120,2560M,1820822,1636746326,1738816,2304M,1636569141,1832744,3072M,0.474881,1636847540,2.5,1754388,1737938,438673408.0,438181888.0,4672225,1854997,1781993,442195968.0,1859327,768M,1.0,1836877,0.540901,1858547,1801841
1024M,1907077,1944341,0.441044,0.411435,447524864.0,1933838,1938466,1854053,1932880,1636804527,1908800,130,1536M,1938720,1636751831,1865506,3328M,1636569155,1893870,2816M,0.41462,1636840041,1.5,1851852,1853381,448958464.0,445157376.0,3819110,1928881,1908826,451440640.0,1935172,2560M,1.0,1916910,0.441271,1933272,1928091
1024M,2077846,2125383,0.442508,0.497122,453165056.0,2121324,2124656,4281515,4365346,1636804928,4332466,140,1280M,2124658,1636760155,2021455,1792M,1636569167,4325979,1280M,0.337445,1636844261,1.5,4273798,2023816,450383872.0,453210112.0,2723982,4361452,2097099,454942720.0,4369180,4096M,1.0,4353376,0.610486,4367124,2112686
1024M,2149454,2197197,0.52476,0.459034,463474688.0,2189409,2193599,2106281,2213886,1636796852,2182693,150,1024M,2194874,1636747402,2106749,2048M,1636569183,2172056,512M,0.532666,1636851280,2.0,2114124,2101522,459431936.0,459718656.0,5490604,2203757,2156119,463470592.0,2218004,4096M,1.0,2198036,0.397505,2213924,2176673
1024M,2331944,2371807,0.614101,0.523607,470085632.0,2356565,2366759,4048228,4144090,1636809803,4116655,160,3584M,2368314,1636747416,2265618,1792M,1636569196,4105634,2816M,0.685221,1636848113,1.0,4049258,2268663,466542592.0,469721088.0,3531414,4139033,2341304,471207936.0,4154531,4096M,1.0,4131062,0.381175,4151548,2354294
1024M,5764130,5816103,0.585575,0.718811,481034240.0,5806632,5810218,2392436,2518617,1636783042,2469691,170,2048M,5811165,1636747428,5707135,3328M,1636569210,2461409,1536M,0.630038,1636841758,2.5,2399045,5706190,477036544.0,478199808.0,3875378,2513387,5783831,480849920.0,2525936,4096M,1.0,2498931,0.584353,2520888,5804915
1024M,8331758,8397685,0.321434,0.633029,532807680.0,8378977,8389147,2949417,3057368,1636786355,3028481,180,1280M,8390641,1636772190,8273173,3328M,1636569228,3008523,1280M,0.489853,1636850290,2.5,2931297,8272239,536838144.0,535011328.0,7987267,3055466,8346582,487698432.0,3062231,512M,1.0,3044321,0.606336,3062024,8366192
1024M,2940233,2991959,0.612289,0.641175,570118144.0,2979754,2986018,10486828,10615427,1636797596,10570553,190,512M,2986966,1636754564,2885225,3328M,1636569249,10555689,2560M,0.451087,1636848641,2.0,10498597,2878040,537378816.0,545898496.0,10220858,10607486,2944920,536559616.0,10619381,2304M,1.0,10591218,0.510646,10617328,2965898
1024M,11481310,11525647,0.518646,0.522143,553938944.0,11508910,11517205,6933471,7049313,1636801638,7017091,200,2048M,11518774,1636764667,11399905,1792M,1636569270,7011160,3072M,0.566621,1636847666,1.5,6932063,11400868,579760128.0,552427520.0,10908239,7046195,11484953,553861120.0,7057879,2560M,1.0,7030464,0.720186,7057360,11499131
1024M,11943277,12011604,0.734877,0.515395,535273472.0,11999193,12005809,11697457,11830940,1636783128,11790780,210,2048M,12006080,1636743351,11882680,1792M,1636569292,11772114,512M,0.733105,1636851376,2.5,11698142,11875446,575885312.0,565587968.0,11945194,11816491,11968915,568983552.0,11834688,1280M,1.0,11813475,0.515527,11831556,11986446
1024M,11816727,11877661,0.709739,0.746368,578752512.0,11874028,11875570,11458440,11630774,1636805064,11579439,220,1280M,11876235,1636747524,11754849,1792M,1636569313,11557667,2816M,0.812971,1636848219,1.5,11474969,11752175,588562432.0,574779392.0,11659527,11627031,11836019,585621504.0,11634658,4096M,1.0,11598804,0.601028,11631735,11858281
1024M,12812783,12878283,0.748323,0.784033,613822464.0,12861393,12864695,13281645,13434760,1636786450,13393198,230,1280M,12866040,1636761096,12725256,1792M,1636569334,13370775,1536M,0.665377,1636841867,2.5,13277667,12729458,576688128.0,586764288.0,10378983,13427820,12815572,599818240.0,13442831,3584M,1.0,13412697,0.766523,13435554,12848954
1024M,9923718,9998204,0.717411,0.621528,623542272.0,9987824,9992367,12302753,12435160,1636801724,12404042,240,2048M,9993176,1636730564,9832028,1792M,1636569356,12396859,1536M,0.689865,1636841887,1.5,12296231,9823292,624115712.0,597987328.0,12143500,12433421,9938340,598142976.0,12439131,3840M,1.0,12431345,0.683492,12435521,9977523
1024M,11586619,11706383,0.630091,0.694453,536780800.0,11664237,11682957,11387683,11603276,1636791438,11548195,250,3584M,11684135,1636736053,11485468,1792M,1636569381,11501960,512M,0.779968,1636851463,2.0,11395503,11492749,623919104.0,611962880.0,15470139,11594694,11608452,623161344.0,11605765,3072M,1.0,11584546,0.913735,11604269,11646397
1024M,11167400,11261211,0.791062,0.673729,536780800.0,11238458,11250717,11069595,11257548,1636778858,11175603,260,3328M,11259424,1636748610,11039391,1792M,1636569406,11155957,512M,0.808297,1636851484,2.5,11069385,11050419,624070656.0,624001024.0,14942059,11253871,11180317,612241408.0,11285586,3584M,1.0,11245431,0.774414,11264244,11227205
1024M,9920728,10015266,0.827581,0.969225,662511616.0,9986657,9992288,13468710,13732126,1636805173,13698516,270,1280M,9993966,1636739385,9818100,1792M,1636569430,13672970,1536M,0.955365,1636841953,1.5,13513688,9810970,650100736.0,637919232.0,13583029,13724153,9945761,647606272.0,13742107,2304M,1.0,13717348,0.934291,13733954,9972960
1024M,12422927,12542955,0.772885,0.722912,535478272.0,12527511,12536566,11137928,11330015,1636787434,11273524,280,768M,12538548,1636739406,12318699,1792M,1636569454,11250936,512M,0.786202,1636851530,2.5,11118265,12320025,663482368.0,651190272.0,13979357,11322737,12460071,651563008.0,11339974,2304M,1.0,11315050,0.831974,11335887,12507953
1024M,14689437,14768723,0.924882,1.005299,692043776.0,14747224,14757973,13385289,13578395,1636787458,13519800,290,768M,14763514,1636739430,14520322,1792M,1636569484,13493148,1536M,0.932928,1636842000,2.5,13370010,14538844,679071744.0,666820608.0,19495482,13571457,14704726,667443200.0,13587991,2304M,1.0,13537689,1.174726,13587207,14739669
1024M,15449207,15558917,0.793205,1.008243,706785280.0,15547579,15555032,15272120,15497128,1636810143,15413242,300,3584M,15556536,1636748705,15339635,1792M,1636569536,15387064,1536M,0.798118,1636842026,1.0,15261857,15335405,682221568.0,685531136.0,42522484,15478847,15458766,683024384.0,15501025,3584M,1.0,15473583,1.154474,15498087,15530876
1024M,18962135,19122439,0.947928,1.079038,536645632.0,19081917,19106288,17684875,17939766,1636810201,17858342,310,3584M,19108212,1636743582,18739812,1792M,1636569571,17841076,512M,0.875754,1636851611,1.0,17710587,18759653,708366336.0,699117568.0,24665729,17932247,19002112,700653568.0,17951634,1280M,1.0,17916648,1.193973,17940695,19057199
1024M,29707561,30042884,0.972376,0.904668,536862720.0,30001385,30018254,19354969,19586204,1636791613,19499112,320,3584M,30029954,1636736225,29597855,1792M,1636569637,19476943,512M,0.810075,1636851651,2.0,19360928,29618003,725708800.0,720453632.0,55852608,19580057,29758477,726642688.0,19605559,3072M,1.0,19560878,0.757128,19586937,29947806
1024M,22205867,22322453,0.8971,0.820451,756240384.0,22310021,22317323,20692636,20942275,1636791644,20851569,330,3584M,22320504,1636730789,22062548,1792M,1636569705,20825606,1536M,0.862296,1636842115,2.0,20691884,22065095,755097600.0,740073472.0,57975949,20927273,22249466,743415808.0,20949682,3840M,1.0,20896350,0.753793,20944223,22280235
1024M,22619298,22754590,0.927757,0.955083,773767168.0,22728556,22744646,23566998,23836016,1636783451,23731533,340,2048M,22747626,1636743676,22492084,1792M,1636569773,23714653,1536M,0.765363,1636842148,2.5,23577545,22487160,759988224.0,761401344.0,58126692,23830163,22653534,753016832.0,23837650,1280M,1.0,23798069,0.840461,23836707,22697410
1024M,25174395,25322585,0.908446,1.041508,793128960.0,25288603,25316205,24480572,24709055,1636805406,24612565,350,1280M,25317500,1636736324,25057477,1792M,1636569844,24584804,1536M,1.03748,1636842183,1.5,24456874,25050628,779616256.0,782118912.0,61439496,24698038,25219841,777629696.0,24717228,3072M,1.0,24672944,1.103189,24711460,25274066
1024M,26072009,26174175,0.972671,1.328058,812220416.0,26154458,26164435,26905124,27128063,1636783523,27055640,360,2048M,26168439,1636761449,25915865,1792M,1636569922,27033725,1536M,0.880057,1636842219,2.5,26873272,25915651,777277440.0,805916672.0,67172775,27122906,26085590,790437888.0,27132671,3584M,1.0,27116426,1.067032,27131960,26132573
1024M,29522667,29661019,0.935962,0.792265,829878272.0,29624841,29641301,27810688,28053351,1636783562,27978005,370,2048M,29642894,1636733507,29350334,1792M,1636570008,27938545,1536M,1.358377,1636842259,2.5,27785582,29365284,817393664.0,828874752.0,76654138,28043698,29538774,809656320.0,28076130,3584M,1.0,28041610,1.142583,28062039,29613042
1024M,32290201,32441645,0.831799,0.841284,850214912.0,32407379,32415715,31252133,31563734,1636791832,31511546,380,3584M,32423002,1636755087,32129220,1792M,1636570093,31492887,1536M,0.776767,1636842302,2.0,31239702,32114590,816701440.0,852336640.0,74211416,31562214,32328798,837492736.0,31582962,2304M,1.0,31531450,0.854802,31569303,32379513
1024M,32444705,32608455,0.860698,1.184393,871096320.0,32575425,32598777,32639724,32966287,1636791878,32853134,390,3584M,32600033,1636761574,32291232,1792M,1636570184,32798159,1536M,0.946042,1636842344,2.0,32655561,32293470,836374528.0,877191168.0,81668780,32954679,32485315,858664960.0,32971299,3584M,1.0,32928890,0.784705,32967933,32550744
1024M,36735840,36870064,0.844269,1.084141,894361600.0,36848237,36856281,36565536,36922665,1636805617,36753217,400,1280M,36859994,1636755176,36560022,1792M,1636570282,36743388,1536M,1.16773,1636842391,1.5,36559518,36565021,861585408.0,903548928.0,87672262,36894357,36755773,878755840.0,36933501,2304M,1.0,36871546,1.092379,36927898,36827622
1024M,37816441,37976445,0.908697,1.178595,915611648.0,37955265,37971003,36641867,36940660,1636779363,36863986,410,3328M,37974474,1636733686,37652094,1792M,1636570384,36836316,1536M,1.080324,1636842439,2.5,36634772,37665960,902422528.0,931102720.0,92267723,36928810,37859477,879849472.0,36951870,3584M,1.0,36906292,1.156688,36941717,37937604
1024M,41058088,41200545,0.99946,0.836801,938192896.0,41190092,41199674,40996709,41311008,1636802330,41150671,420,2048M,41200028,1636731162,40879619,1792M,1636570492,41119488,1536M,1.207639,1636842490,1.5,40976240,40882427,938586112.0,959422464.0,98117312,41287357,41076545,915853312.0,41317258,3840M,1.0,41225499,0.918992,41315333,41162244
1024M,45392034,45545061,0.961903,1.28506,985473024.0,45511832,45536348,45660827,45974090,1636792134,45842234,440,3584M,45539901,1636755384,45247948,1792M,1636570662,45823867,1536M,0.903934,1636842599,2.0,45639788,45224568,952803328.0,1010855936.0,59091100,45967700,45448043,973991936.0,45996628,2304M,1.0,45931514,1.084597,45986826,45485852
